feature,mean_imp,std_imp
age,0.0959884477450887,0.012884238058307667
age_class_ord,0.049297026246469235,0.01202981856248567
prop_infants,0.01183947443587543,0.0028031793637576146
group_size,0.011464978260179604,0.0051798587767218855
prop_silverbacks,0.005366720619505535,0.0018237684425224197
mean_agonistic,0.004720873401250418,0.0022313055087050376
prop_adult_females,0.00395759941603984,0.0011322181382270782
habitat_quality_score,0.002794439683899819,0.0012523128128499135
dependency_ratio,0.0025691072392014587,0.0020413240189670816
annual_rainfall_mm,0.0018534387000539332,0.0009511510410020559
n_silverbacks,0.001120314830683274,0.0011468686712179709
rainfall_seasonality_idx,0.0007807293154336555,0.0010538344811312622
multi_male_group,0.0006712367894886939,0.0005451949496503072
rainfall_anomaly_z,0.0006585420038718796,0.0007947004871881552
rest_pct,0.00041258053254624355,0.002552034776462307
forage_pct,0.0003951252023231248,0.0033559453490199175
cohesion_idx,0.00015709797200798756,0.002298810748430488
body_condition_score,-0.00015868482021011988,0.0021699706756386256
travel_pct,-0.00019835602526263596,0.0023865505868760238
social_pct,-0.0004649465232156036,0.001621181935949379
lagged_rain_z,-0.0008616585737408792,0.0010430808418321821
lagged_rainfall_mm,-0.0008965692341870687,0.0014286966396474666
mean_foraging_pct,-0.0010584277508013681,0.0010636867331174195
sex_binary,-0.001204417785394644,0.002836319265986467
mean_affiliation,-0.0014249896854867069,0.005191103166367123
social_integration,-0.0019867339490304502,0.003182592501810185
dom_rank_norm,-0.0028896505760259037,0.0030062415146803797
foraging_efficiency,-0.005757085277222399,0.0033000552429999514
